"STATION","NAME","DATE","DSND","DSNW","EMSD","EMSN","EMXP","PRCP","SNOW","TAVG","TMAX","TMIN"
"USW00014765","RHODE ISLAND T.F. GREEN INTERNATIONAL AIRPORT, RI US","2013-02","11","3","16","10.6","1.39","5.04","24.3","31.0","37.9","24.0"
"USW00014765","RHODE ISLAND T.F. GREEN INTERNATIONAL AIRPORT, RI US","2013-03","2","3","1","2.3","1.10","2.94","4.9","38.5","45.9","31.0"
"USW00014765","RHODE ISLAND T.F. GREEN INTERNATIONAL AIRPORT, RI US","2013-04","0","0","0","0.0","0.54","1.68","0.0","49.0","59.1","39.0"
"USW00014765","RHODE ISLAND T.F. GREEN INTERNATIONAL AIRPORT, RI US","2013-05","0","0","0","0.0","0.70","3.03","0.0","60.0","71.5","48.5"
"USW00014765","RHODE ISLAND T.F. GREEN INTERNATIONAL AIRPORT, RI US","2013-06","0","0","0","0.0","3.23","10.09","0.0","69.5","78.6","60.3"
"USW00014765","RHODE ISLAND T.F. GREEN INTERNATIONAL AIRPORT, RI US","2013-07","0","0","0","0.0","0.72","2.26","0.0","78.4","86.4","70.4"
"USW00014765","RHODE ISLAND T.F. GREEN INTERNATIONAL AIRPORT, RI US","2013-08","0","0","0","0.0","1.74","3.87","0.0","70.9","80.0","61.8"
"USW00014765","RHODE ISLAND T.F. GREEN INTERNATIONAL AIRPORT, RI US","2013-09","0","0","0","0.0","2.82","4.59","0.0","63.5","73.7","53.3"
"USW00014765","RHODE ISLAND T.F. GREEN INTERNATIONAL AIRPORT, RI US","2013-10","0","0","0","0.0","0.23","0.61","0.0","55.0","65.3","44.6"
"USW00014765","RHODE ISLAND T.F. GREEN INTERNATIONAL AIRPORT, RI US","2013-11","0","0","0","0.1","3.12","4.63","0.1","41.8","51.1","32.6"
"USW00014765","RHODE ISLAND T.F. GREEN INTERNATIONAL AIRPORT, RI US","2013-12","3","4","1","2.7","1.23","4.81","7.0","33.4","41.1","25.7"
